# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	0.9.7
#@/tick	6507
#@/user_id	39450050-b813-48cb-bd0a-6ded5e51c872
bu yao gen 	不要跟	c=1 d=1 t=4939
bu yao hui da 	不要回答	c=3 d=2.98506 t=4381
bu yao zi ji 	不要自己	c=1 d=1 t=5325
bu ye shi 	不也是	c=1 d=1 t=1472
bu yi ding 	不一定	c=1 d=1 t=5650
bu yi yang 	不一樣	c=1 d=1.06079 t=19
bu ying gai 	不應該	c=1 d=1 t=2511
bu ying xiang 	不影響	c=1 d=1 t=2609
bu yong 	不用	c=0 d=0.1 t=4766
bu yong xie 	不用謝	c=1 d=1 t=3481
bu you ming 	不有名	c=1 d=1 t=5661
bu zhe me 	不這麼	c=1 d=1 t=5527
bu zhi 	不致	c=1 d=1 t=6413
bu zhi dao 	不知道	c=4 d=1.04573 t=5762
bu zhong yao 	不重要	c=1 d=1 t=1039
bu zu yi 	不足以	c=1 d=1 t=1845
bu zuo 	不作	c=0 d=0.1 t=718
bu zuo si 	不作死	c=2 d=1.00971 t=4966
bu zuo si jiu bu hui si 	不作死就不會死	c=4 d=1.00641 t=4038
cai 	才	c=3 d=1.97045 t=5219
cai 	猜	c=1 d=1 t=5216
cai 	菜	c=1 d=1 t=37
cai neng 	才能	c=1 d=1.01159 t=3114
cai neng gan 	才能幹	c=1 d=1 t=2684
cai se 	彩色	c=1 d=1 t=1298
cai shi 	纔是	c=5 d=1.00041 t=6148
cai yi cai 	猜一猜	c=2 d=1.89137 t=5221
cai zhe me fei jin 	才這麼費勁	c=1 d=1 t=3053
cai zhi dao 	才知道	c=2 d=1 t=6186
cai zhong 	猜中	c=1 d=1 t=4363
can guan 	餐館	c=1 d=1 t=4228
can jian 	參見	c=1 d=1 t=3458
can kao 	參考	c=0 d=0.1 t=2199
can kao xi 	參考系	c=2 d=1 t=5886
can shu 	參數	c=2 d=1.9802 t=2086
can ying 	殘影	c=1 d=1 t=717
can zao 	慘遭	c=1 d=1 t=2074
cao 	曹	c=1 d=1 t=5994
cao dian 	槽點	c=1 d=1 t=4160
cao zuo yuan 	操作員	c=1 d=1 t=4175
ce 	側	c=1 d=1 t=6091
ce dei 	測得	c=1 d=1 t=5014
ce ju 	測距	c=1 d=1 t=3115
ce liang 	測量	c=1 d=1 t=5894
ce lve 	策略	c=0 d=0.1 t=6325
ce shi 	測試	c=6 d=0.970446 t=6507
ce shi huan jing 	測試環境	c=1 d=1 t=2266
ceng ci 	層次	c=0 d=0.1 t=5265
ceng jiang 	曾將	c=1 d=1 t=2525
cha 	插	c=3 d=1.99008 t=3418
cha 	查	c=1 d=1 t=3895
cha bu duo 	差不多	c=1 d=1 t=5236
cha jian 	插件	c=1 d=1 t=5521
cha ju 	差距	c=1 d=1 t=2909
cha kan 	查看	c=1 d=1 t=1123
cha ru 	插入	c=0 d=0.1 t=1050
cha ru pai xu 	插入排序	c=1 d=1 t=1051
cha xun 	查詢	c=2 d=1.98042 t=1273
cha xun jie guo 	查詢結果	c=1 d=1 t=98
cha yi dian 	差一點	c=1 d=1 t=4188
chai 	拆	c=1 d=0.100087 t=2787
chai jie 	拆解	c=1 d=1 t=917
chai yi ge 	拆一個	c=1 d=1.09005 t=2790
chan he 	摻和	c=1 d=1 t=5677
chan le 	摻了	c=1 d=1 t=923
chan le shui 	摻了水	c=1 d=1 t=834
chan pin 	產品	c=1 d=1 t=1552
chan sheng 	產生	c=1 d=1 t=5868
chang 	長	c=1 d=1 t=5091
chang du 	長度	c=3 d=1.02055 t=5892
chang qi 	長期	c=1 d=1 t=2675
chang shang 	廠商	c=0 d=0.1 t=63
chang shi 	嘗試	c=2 d=1.1979 t=2172
chang wei 	長爲	c=2 d=1 t=6004
chao 	超	c=0 d=0.100063 t=6305
chao dian ci pao 	超電磁炮	c=2 d=1.5975 t=4934
chao fan 	炒飯	c=1 d=1 t=6319
chao fang bian 	超方便	c=1 d=1 t=6306
chao feng 	嘲諷	c=0 d=0.1 t=1857
chao feng er yi 	嘲諷而已	c=1 d=1 t=1858
chao shi 	超市	c=1 d=1 t=4350
chao xian 	朝鮮	c=2 d=1.93239 t=2993
che 	車	c=9 d=1.70432 t=6261
che jian 	車間	c=1 d=1 t=4174
che pi 	車皮	c=0 d=0.1 t=4312
chen ru 	沉入	c=1 d=1 t=4447
cheng 	成	c=1 d=0.227454 t=4110
cheng 	撐	c=0 d=0.1 t=3501
cheng bu zhu 	撐不住	c=1 d=1 t=2474
cheng du 	程度	c=1 d=1.00481 t=853
cheng ge 	誠哥	c=1 d=1 t=6238
cheng gong 	成功	c=1 d=1 t=6207
cheng le 	成了	c=1 d=1 t=2891
cheng shi 	城市	c=0 d=0.1 t=249
cheng wei 	成爲	c=2 d=1.00005 t=4822
cheng xu 	程序	c=1 d=1 t=1995
cheng xu she ji yu yan 	程序設計語言	c=1 d=1 t=4331
cheng xu yuan 	程序員	c=3 d=1 t=5505
cheng ye 	誠也	c=1 d=1 t=4751
chi 	吃	c=0 d=0.1 t=6242
chi cun 	尺寸	c=0 d=0.1 t=2204
chi dong xi 	吃東西	c=2 d=1 t=3892
chi hong 	赤紅	c=0 d=0.1 t=6286
chi hong she xian 	赤紅射線	c=1 d=1 t=6287
chi huo 	吃貨	c=2 d=1.98511 t=1015
chi qiu 	恥球	c=1 d=1 t=3479
chi si 	赤司	c=1 d=1 t=464
chi tian xiu yi 	池田秀一	c=1 d=1 t=1162
chi wo 	吃我	c=4 d=3.27175 t=482
chong chuan 	重傳	c=2 d=1.97531 t=4604
chong fu 	重複	c=3 d=0.100048 t=4477
chong guo qu 	衝過去	c=0 d=0.1 t=1973
chong ji 	衝擊	c=0 d=0.1 t=4075
chong ji qiang 	衝擊槍	c=1 d=1 t=4076
chong liang 	衝量	c=1 d=1 t=1890
chong qi 	重啓	c=1 d=1 t=4119
chong wu 	寵物	c=1 d=1 t=3918
chong xie 	重寫	c=1 d=1 t=1050
chong xin 	重新	c=0 d=0.1 t=3165
chong xin bao zhuang 	重新包裝	c=1 d=1 t=3166
chong zhuang 	衝撞	c=1 d=1 t=4406
chong zuo 	重做	c=0 d=0.1 t=4899
chong zuo xi tong 	重做系統	c=1 d=1 t=4900
chou feng 	抽風	c=1 d=1.09753 t=5228
chou sha 	仇殺	c=0 d=0.1 t=2382
